path,original_path,filename,extension,size_bytes,sha256,content_type,title,author,year,language,domain,document_role,confidence,review_status,status,notes
,2025_IT_AI Engineering Guidebook_Akshay Pachaar.pdf,2025_IT_AI Engineering Guidebook_Akshay Pachaar.pdf,pdf,95382738,1273e50aceb06a003d5440c3713a9902c9dc0c8b4c86694ce64d324ae79eae2c,book,"AI Engineering: System Design Patterns for LLMs, RAG and Agents (2025 Edition)",Akshay Pachaar & Avi Chawla,2025,English,artificial-intelligence,source-material,HIGH,DUPLICATE_REVIEW,RETIRED,"IMPORTANT: appears to be the SAME BOOK (same authors/title) as ./AI/System Design Patterns for LLMs, RAG and Agents.pdf — needs byte-level duplicate check; if genuinely different files, likely a probable-duplicate/different-copy of the same publication. [RETIRED during migration: duplicate content, other copy kept.]"
business-analysis/AI Cheatsheet for Business Analysts.pdf,AI Cheatsheet for Business Analysts.pdf,AI Cheatsheet for Business Analysts.pdf,pdf,246949,e335c1ec8f7a2b3944b5ce0b2c0ce29aeed6f8c4bc13b79632735ac0043d50a9,cheatsheet,AI Cheatsheet for Business Analysts: Mastering Generative AI in Your Daily Workflow,Diwakar Singh,,English,business-analysis,reference-material,HIGH,,MIGRATED,Self-published cheatsheet.
software-architecture/Availability-biz-flow.pdf,Availability-biz-flow.pdf,Availability-biz-flow.pdf,pdf,332215,fa730c41277ddc879e45ce37686aae14609a7b30a6b6328af9c35bfa16c031aa,diagram,Availability Business Flow - Web Server Request Handling & Authentication Sequence Diagram,,,English,software-architecture,reference-material,MEDIUM,,MIGRATED,No title/author; exported sequence-diagram of request handling.
software-architecture/Building Event Driven Microservices Early Release EB.pdf,Building Event Driven Microservices Early Release EB.pdf,Building Event Driven Microservices Early Release EB.pdf,pdf,20600599,7b98d8eb88034775b7b6c1baa3096de83effc3e11492935f7aa4865fc568f02d,book,Building Event-Driven Microservices: Leveraging Organizational Data at Scale (2nd Edition),Adam Bellemare,,English,software-architecture,source-material,HIGH,,MIGRATED,"Early Release draft, foreword by Martin Kleppmann."
career/it-career-guidance/Khám Phá Thế Giới Công Nghệ_2022_FREE.pdf,Khám Phá Thế Giới Công Nghệ_2022_FREE.pdf,Khám Phá Thế Giới Công Nghệ_2022_FREE.pdf,pdf,12941028,5843433a0acc512368604410314faa1148dc8c640a8ee72491e8981a92572b29,book,Khám Phá Thế Giới Công Nghệ (Exploring the World of Information Technology),Homer Truong (Lê Hoàng),2022,Vietnamese (with English IT terminology),information-technology-career,source-material,HIGH,,MIGRATED,"Self-published free ebook, 3 parts: IT foundations, IT career guidance, 30-years personal reflections."
product-management/Product_Manager_18_Bai_Giang.pdf,Product_Manager_18_Bai_Giang.pdf,Product_Manager_18_Bai_Giang.pdf,pdf,3567011,3717db9a314a619d6aa7150c9447e5c10c797920e5cd2b0eac11f9284aac4e45,book,Product Manager - 18 Bài Giảng (Tencent's 18 Lectures on Product Manager Thinking & Skills),Tencent/Zhihu column authors; VN translation by Huy Bùi (@buihuy89),,Vietnamese (translated from Chinese),product-management,source-material,HIGH,,MIGRATED,Confirmed VN translation of Tencent 18-lecture PM series.
product-management/Tu_duy_san_pham_WeChat_BAN_SACH.pdf,Tu_duy_san_pham_WeChat_BAN_SACH.pdf,Tu_duy_san_pham_WeChat_BAN_SACH.pdf,pdf,4827868,844b2a425511f04b0648984817ead433910e9de14bbaadae044d337254754a8e,book,Tư Duy Sản Phẩm Đằng Sau WeChat (The Product Thinking Behind WeChat),"Zhang Xiaolong (WeChat creator, original talk); VN translation by @buihuy89",,Vietnamese (translated from Chinese),product-management,source-material,HIGH,,MIGRATED,"Unofficial study-purpose translated edition, explicitly noted as such in the doc."
salesforce/b2c-commerce-cloud/Salesforce B2C Commerce Cloud Diagram - Campaign - ERD.png,SF/Salesforce B2C Commerce Cloud Diagram - Campaign - ERD.png,Salesforce B2C Commerce Cloud Diagram - Campaign - ERD.png,png,142900,7d4c018b03853af5dd03ad1287a08f5187ac6e88d0de87d47602dd6fc106d0d7,diagram,Salesforce B2C Commerce Cloud - Campaign Entity Relationship Diagram,,,,salesforce-b2c-commerce,reference-material,HIGH,,MIGRATED,ERD of Campaign object relationships in SFCC data model.
salesforce/b2c-commerce-cloud/Salesforce B2C Commerce Cloud Diagram - Content - ERD.png,SF/Salesforce B2C Commerce Cloud Diagram - Content - ERD.png,Salesforce B2C Commerce Cloud Diagram - Content - ERD.png,png,40632,4ef7d6a6e0227ee48ba1e66df63711b47b80bae632df9b68670dfe3383d45834,diagram,Salesforce B2C Commerce Cloud - Content Entity Relationship Diagram,,,,salesforce-b2c-commerce,reference-material,HIGH,,MIGRATED,ERD of Content Management object model.
salesforce/b2c-commerce-cloud/Salesforce B2C Commerce Cloud Diagram - Customer - ERD.png,SF/Salesforce B2C Commerce Cloud Diagram - Customer - ERD.png,Salesforce B2C Commerce Cloud Diagram - Customer - ERD.png,png,192313,edd4fe100e217b381fabbfb0fdcd9b0cb5ed16dfc4eab63ce15cc16badb8b17f,diagram,Salesforce B2C Commerce Cloud - Customer Entity Relationship Diagram,,,,salesforce-b2c-commerce,reference-material,HIGH,,MIGRATED,ERD of Customer domain.
salesforce/b2c-commerce-cloud/Salesforce B2C Commerce Cloud Diagram - Product  & Catalog - ERD.png,SF/Salesforce B2C Commerce Cloud Diagram - Product  & Catalog - ERD.png,Salesforce B2C Commerce Cloud Diagram - Product  & Catalog - ERD.png,png,373623,9cde4c9e017ae06909ae20a76c241e1179606f5b8f18686c41df0dd9d12ef461,diagram,Salesforce B2C Commerce Cloud - Product & Catalog Entity Relationship Diagram,,,,salesforce-b2c-commerce,reference-material,HIGH,,MIGRATED,Largest/most detailed of the 4 SFCC ERDs. Double-space typo in filename before '&' — cosmetic only.
artificial-intelligence/foundations/AIO_Exercise_Book_v2025.pdf,AI/AIO_Exercise_Book_v2025.pdf,AIO_Exercise_Book_v2025.pdf,pdf,23343087,17fc2b661c0ef47b4a6766c92dcc0ff8dd82a2115ce16c47fbd75edea0370553,course-material,Sách bài tập Lớp AIO (Kèm bài giải; version 2025),AI VIETNAM (AIO2025) team,2025,Vietnamese,artificial-intelligence/foundations,source-material,HIGH,,MIGRATED,Vietnamese exercise/workbook with solutions for AIO2025 course by AI VIETNAM.
"artificial-intelligence/llm/AI Engineering - System Design Patterns for LLMs, RAG and Agents.pdf","AI/System Design Patterns for LLMs, RAG and Agents.pdf","AI Engineering - System Design Patterns for LLMs, RAG and Agents.pdf",pdf,14501280,96354e67848253f2cfe4141f64ae852d75a52c593b846cd1eafc981d0696289a,book,"AI Engineering: System Design Patterns for LLMs, RAG and Agents",Akshay Pachaar & Avi Chawla,2025,English,artificial-intelligence/llm-engineering,source-material,HIGH,,MIGRATED,"Full title is 'AI Engineering: System Design Patterns for LLMs, RAG and Agents' — filename only carries the subtitle."
artificial-intelligence/economic-impact/Tac-dong-cua-AI-len-thi-truong-lao-dong-Anthropic-2026-BanDich.pdf,AI/Tac-dong-cua-AI-len-thi-truong-lao-dong-Anthropic-2026-BanDich.pdf,Tac-dong-cua-AI-len-thi-truong-lao-dong-Anthropic-2026-BanDich.pdf,pdf,1803964,88b30c095fbc38e697ba42030f9072df4af0e36313c8c98a96ff9cb233e8907b,technical-report,Tác động của AI lên thị trường lao động: Thước đo mới và bằng chứng ban đầu (Bản dịch tiếng Việt),Maxim Massenkoff and Peter McCrory (Anthropic); VN translation: Bùi Tấn Việt (SePay),2026,Vietnamese (translated from English),artificial-intelligence/economic-impact,derived-notes,HIGH,,MIGRATED,"Vietnamese translation of an Anthropic economic-impact report (original authors Massenkoff & McCrory). This is a derived/translated artifact, not the primary English source."
"artificial-intelligence/agents/Toward Efficient Agents - A Survey of Memory, Tool learning, and Planning.pdf","AI/Toward Efficient Agents - A Survey of Memory, Tool learning, and Planning.pdf","Toward Efficient Agents - A Survey of Memory, Tool learning, and Planning.pdf",pdf,17442989,888e53afe85a5579c70079f318c34fb71a2752f6e8fced303d197c13f4ef268b,survey,"Toward Efficient Agents: A Survey of Memory, Tool Learning, and Planning","Xiaofang Yang, Lijun Li, Heng Zhou, et al. (Shanghai AI Laboratory et al.)",2026,English,artificial-intelligence/agents,source-material,HIGH,,MIGRATED,"Genuine arXiv survey (arXiv:2601.14192v1, 20 Jan 2026), Shanghai AI Lab + collaborators. Filename matches title exactly."
artificial-intelligence/agents/AI Agents - The Illustrated Guidebook.pdf,AI Agent/AI Agents guidebook.pdf,AI Agents - The Illustrated Guidebook.pdf,pdf,33580474,672d0a1b219fa6a43ce2a5e74653ef66d43db855d27bfa1734b8925363e8a758,book,AI Agents: The Illustrated Guidebook,Avi Chawla & Akshay Pachaar,2025,English,artificial-intelligence/agents,source-material,HIGH,,MIGRATED,"Same authors/publisher family as 'System Design Patterns for LLMs, RAG and Agents' (AI/ folder) — cross-topic-related book pair. Full title 'AI Agents: The Illustrated Guidebook'."
artificial-intelligence/agents/Agentic AI.pdf,AI Agent/Agentic AI.pdf,Agentic AI.pdf,pdf,466182,47749680b39a195e9443348b47adb7f61982494cd08e960cb66509a7ec00272e,course-material,Giáo trình Agentic AI,Unattributed / unknown,,Vietnamese,artificial-intelligence/agents,reference-material,MEDIUM,NEEDS_REVIEW,MIGRATED,"Vietnamese-language curriculum-style primer, no author/publisher/date visible — may be a compiled/AI-generated study doc. Filename 'Agentic AI.pdf' is generic and near-collides conceptually with AI/ and AI Agent/ folder names."
artificial-intelligence/agents/Master All 20 Agentic AI Design Patterns.pdf,AI Agent/Master All 20 Agentic AI Design Patterns.pdf,Master All 20 Agentic AI Design Patterns.pdf,pdf,308166,b87f455ec59349f84f11ae62d1e39b6d7760a2b15d6977c5b9bcdc5ffdee5c47,technical-report,Master All 20 Agentic AI Design Patterns: A Complete Guide to Production-Ready AI Agent Architectures,Unattributed / unknown,2025,English,artificial-intelligence/agents,reference-material,MEDIUM,NEEDS_REVIEW,MIGRATED,No named author/organization; likely self-published or AI-assisted compilation. Filename already matches document's own title.
software-engineering/agile/agile-scrum-notes-01-intro-philosophy.jpg,Agile/1.jpg,agile-scrum-notes-01-intro-philosophy.jpg,jpg,225018,0fc46662b465f8973f2f707f13a908a2bf68e46fcd093435572e987efbf3bb37,reference,Agile and Scrum notes — Introduction to Agile Philosophy,,,,agile-methodology,personal-notes,HIGH,,MIGRATED,First page (title 'Agile and Scrum') of a handwritten/annotated study-note deck (bilingual English/Vietnamese). Part of a coherent 8-slide sequential note deck on Agile/Scrum (page 1 of 8).
software-engineering/agile/agile-scrum-notes-02-scrum-process-roles.jpg,Agile/2.jpg,agile-scrum-notes-02-scrum-process-roles.jpg,jpg,232900,ceb86a05485fdc804434445fcf42cbac690efeea9b2d488a235407a1fb12cbc8,reference,"Agile and Scrum notes — BDD/TDD, Intro to Scrum, Roles, Artifacts/Events",,,,agile-methodology,personal-notes,HIGH,,MIGRATED,Page 2 of 8 in the same notes deck.
software-engineering/agile/agile-scrum-notes-03-devops-planning-tools.jpg,Agile/3.jpg,agile-scrum-notes-03-devops-planning-tools.jpg,jpg,246683,3c836d39fd1e4394bec4163ca74f60a9e804c32f6c3546e1f3499141f7f7bf89,reference,"Agile and Scrum notes — DevOps, Agile Dilemma, Planning Agile, Kanban tools",,,,agile-methodology,personal-notes,HIGH,,MIGRATED,Page 3 of 8.
software-engineering/agile/agile-scrum-notes-04-user-stories-story-points.jpg,Agile/4.jpg,agile-scrum-notes-04-user-stories-story-points.jpg,jpg,229534,2f95742d7f426a3f59628b2ec761205a0ee43ebec3ea902b8b9d4986b36de070,reference,"Agile and Scrum notes — User Stories, INVEST criteria, Story Points, Product Backlog",,,,agile-methodology,personal-notes,HIGH,,MIGRATED,Page 4 of 8.
software-engineering/agile/agile-scrum-notes-05-github-zenhub-backlog-refinement.jpg,Agile/5.jpg,agile-scrum-notes-05-github-zenhub-backlog-refinement.jpg,jpg,179352,9ff52eeaae28a4737332ce80f86dd6fbf625f7a6e2cf4e5c2e95df031c8bc44e,screenshot,Agile and Scrum notes — GitHub Issues/ZenHub walkthrough and backlog refinement,,,,agile-methodology,personal-notes,HIGH,,MIGRATED,Page 5 of 8.
software-engineering/agile/agile-scrum-notes-06-labels-sprint-planning.jpg,Agile/6.jpg,agile-scrum-notes-06-labels-sprint-planning.jpg,jpg,218856,1b2032c564f9e09ed4df88f8dfc70e9b38c5bb17cbfd3fa1d4205df9bd0ad423,screenshot,"Agile and Scrum notes — Labels, Backlog Refinement Tips, Sprint Planning",,,,agile-methodology,personal-notes,HIGH,,MIGRATED,Page 6 of 8.
software-engineering/agile/agile-scrum-notes-07-daily-execution-burndown-review.jpg,Agile/7.jpg,agile-scrum-notes-07-daily-execution-burndown-review.jpg,jpg,192195,e1e1cb3c7a289833ec58cb82443f13504cbc58b1d9c980aa77c14c0e80d0fa6b,reference,"Agile and Scrum notes — Daily Execution, Stand-up, Burndown Chart, Sprint Review/Retro",,,,agile-methodology,personal-notes,HIGH,,MIGRATED,Page 7 of 8.
software-engineering/agile/agile-scrum-notes-08-metrics-github-setup-guide.jpg,Agile/8.jpg,agile-scrum-notes-08-metrics-github-setup-guide.jpg,jpg,228863,29899e1843ac1a2e23008c4192a40a8be9e2c2b60a08fbde30bd1d3e03906f91,screenshot,Agile and Scrum notes — Measuring Success (DORA metrics) and full GitHub/ZenHub setup steps with Kanban board screenshot,,,,agile-methodology,personal-notes,HIGH,,MIGRATED,Page 8 of 8 (final).
career/job-search/apply.webp,Mail/apply.webp,apply.webp,webp,68834,2d7fba76ab5f03841efb68b6b16fe0a3dcaa8104cb97eb59049d8b55c4208488,reference,Email template — Job application / CV submission (Vietnamese),,,,career/job-search,reference-material,HIGH,,MIGRATED,Vietnamese template 'MAIL GỬI CV ỨNG TUYỂN'. Matches filename.
career/job-search/discuss_offer.webp,Mail/discuss_offer.webp,discuss_offer.webp,webp,93688,b37a3f64a4d008c36eab48f38b122debf8f7b5441f2249aa99e71e6888ba3b3c,reference,"Email template — Negotiating job offer (salary and benefits, Vietnamese)",,,,career/job-search,reference-material,HIGH,,MIGRATED,Vietnamese template 'MAIL ĐÀM PHÁN THÊM VỀ OFFER'. Matches filename.
career/job-search/join_interview.webp,Mail/join_interview.webp,join_interview.webp,webp,46594,9ab1291d5be44a29918aad611f10949271dd2d362de27496f2a48b070648d249,reference,Email template — Confirming interview attendance (Vietnamese),,,,career/job-search,reference-material,HIGH,,MIGRATED,Vietnamese template 'MAIL XÁC NHẬN THAM GIA PHỎNG VẤN'. Matches filename.
career/job-search/reject_interview.webp,Mail/reject_interview.webp,reject_interview.webp,webp,54822,3957ed1d6f7516c62b09c0b09b677c2c2f988d5dee767ae80db197f6a84f4b94,reference,Email template — Declining an interview invitation (Vietnamese),,,,career/job-search,reference-material,HIGH,,MIGRATED,Vietnamese template 'MAIL TỪ CHỐI THAM GIA PHỎNG VẤN'. Matches filename.
